,czone_x,statefip,yr,t2,timepwt24,d_impusch_p9,d_impuschm_p9cen,d_impuschf_p9cen,d_impotch_p9_lag,czone_y,d_avg_lnwkwage,d_avg_lnwkwage_m,d_avg_lnwkwage_f
124,4301.0,5,1990.0,0.0,0.00017143115,2.2932806,0.90762573,1.3856549,1.50677,4301.0,14.416361,13.924217,17.476797
125,4301.0,5,2000.0,1.0,0.00020260009,1.2701268,0.71109706,0.5590297,1.4676149,4301.0,1.7928395,-0.29189247,5.4000444
126,4302.0,5,1990.0,0.0,0.00033444277,1.1854541,0.57252806,0.612926,0.98100173,4302.0,16.501188,19.152212,13.894844
127,4302.0,5,2000.0,1.0,0.00046981755,1.9868873,1.0938623,0.893025,2.1163611,4302.0,1.8351419,2.752168,1.3082368
128,4401.0,21,1990.0,0.0,0.0005125165,0.27281424,0.16773434,0.10507993,0.7002817,4401.0,7.7260017,8.411217,12.078905
129,4401.0,21,2000.0,1.0,0.00072772236,0.488318,0.23011297,0.25820503,1.3746413,4401.0,8.54063,2.6431084,15.548161
130,4402.0,21,1990.0,0.0,0.0003961641,1.1349891,0.69883925,0.4361499,0.8186412,4402.0,18.7078,18.731403,20.247316
131,4402.0,21,2000.0,1.0,0.00058214867,2.3668272,1.2999191,1.0669082,1.7523706,4402.0,5.3789277,0.0768389,12.01691
132,4501.0,21,1990.0,0.0,0.00018850905,0.25586522,0.13430518,0.12156004,0.943463,4501.0,5.167532,2.4979115,17.021894
133,4501.0,21,2000.0,1.0,0.00025207375,0.49301305,0.117501415,0.37551165,2.2418528,4501.0,10.484832,10.9249525,11.041845
134,4502.0,21,1990.0,0.0,0.00050628115,0.0052428823,0.0047783023,0.00046458008,0.006332254,4502.0,0.4834175,-1.645422,13.628197
135,4502.0,21,2000.0,1.0,0.00059517723,0.015812587,0.014439297,0.0013732907,0.009466398,4502.0,12.073994,13.02726,11.267594
136,4601.0,21,1990.0,0.0,0.0003091392,1.641095,0.6994287,0.9416663,3.6974928,4601.0,17.809677,17.508602,17.311668
